geo_name,geo_sumlevel,geo_id,total_reimbursements_b_2010,total_reimbursements_b_2011,total_reimbursements_b_2012,total_reimbursements_b_2013,total_reimbursements_b_2014
"Cedar County, MO",county,05000US29039,8246,8769,9603,9296,9068
"Chariton County, MO",county,05000US29041,8922,9386,9018,8760,9350
"Christian County, MO",county,05000US29043,8273,8550,9187,8780,8687
"Clark County, MO",county,05000US29045,9036,10004,8954,8682,8601
"Clay County, MO",county,05000US29047,10407,10397,10133,10033,10144
"Clinton County, MO",county,05000US29049,9816,9959,9354,9134,9129
"Cole County, MO",county,05000US29051,9142,9529,9092,8606,8612
"Cooper County, MO",county,05000US29053,7870,8383,8143,8050,8425
"Crawford County, MO",county,05000US29055,10054,9707,9433,8732,8788
"Dade County, MO",county,05000US29057,8124,8484,7385,8677,8743
"Dallas County, MO",county,05000US29059,7767,8274,9303,9387,9648
"Daviess County, MO",county,05000US29061,9068,10126,8958,9010,10193
"DeKalb County, MO",county,05000US29063,9260,8993,8622,8211,9167
"Dent County, MO",county,05000US29065,10138,9689,10355,9892,10034
"Douglas County, MO",county,05000US29067,7911,8822,8739,8130,8476
"Dunklin County, MO",county,05000US29069,10890,11002,11006,10506,10783
"Franklin County, MO",county,05000US29071,10094,10512,9959,9571,9883
"Gasconade County, MO",county,05000US29073,10234,9487,10343,9170,9652
"Gentry County, MO",county,05000US29075,11036,11397,10418,10192,11302
"Greene County, MO",county,05000US29077,8271,8629,8887,8663,8930
"Grundy County, MO",county,05000US29079,9734,9454,9583,9911,9462
"Harrison County, MO",county,05000US29081,9780,9367,10792,10694,11004
"Henry County, MO",county,05000US29083,9422,9705,9926,9998,10198
"Hickory County, MO",county,05000US29085,8267,8152,8140,8624,8444
"Holt County, MO",county,05000US29087,8081,7699,9538,8950,8115
"Howard County, MO",county,05000US29089,6999,7602,6846,7846,8318
"Howell County, MO",county,05000US29091,8060,8632,8167,8406,8456
"Iron County, MO",county,05000US29093,10602,10749,10713,9743,11015
"Jackson County, MO",county,05000US29095,9355,9431,9529,9547,9771
"Jasper County, MO",county,05000US29097,10060,9343,9505,9784,9864
"Jefferson County, MO",county,05000US29099,11593,11521,11487,10964,11178
"Johnson County, MO",county,05000US29101,9386,9242,9795,9349,9526
"Knox County, MO",county,05000US29103,8917,9309,10134,8090,9283
"Laclede County, MO",county,05000US29105,8786,8289,8595,8367,9581
"Lafayette County, MO",county,05000US29107,9375,9501,9770,9390,9590
"Lawrence County, MO",county,05000US29109,8887,9018,10145,9018,8891
"Lewis County, MO",county,05000US29111,8431,8102,9087,8798,9822
"Lincoln County, MO",county,05000US29113,10929,10822,11152,11603,11185
"Linn County, MO",county,05000US29115,9697,10386,9989,10572,10594
"Livingston County, MO",county,05000US29117,10384,10121,10135,10752,10641
"McDonald County, MO",county,05000US29119,9557,9625,9228,9278,9468
"Macon County, MO",county,05000US29121,9146,9372,10267,10630,10545
"Madison County, MO",county,05000US29123,10969,11594,10713,10332,10182
"Maries County, MO",county,05000US29125,10038,10112,9455,9450,8731
"Marion County, MO",county,05000US29127,8841,8760,9013,8596,8970
"Mercer County, MO",county,05000US29129,9718,8730,9246,8826,8476
"Miller County, MO",county,05000US29131,8511,9158,8620,9179,8853
"Mississippi County, MO",county,05000US29133,8905,9301,9803,8904,9783
"Moniteau County, MO",county,05000US29135,8515,8958,8637,8233,8198
"Monroe County, MO",county,05000US29137,8672,9884,8834,8452,8534
"Montgomery County, MO",county,05000US29139,9397,9839,9721,9032,9062
"Morgan County, MO",county,05000US29141,8942,9233,8860,9267,8676
"New Madrid County, MO",county,05000US29143,10603,10957,9602,9952,10369
"Newton County, MO",county,05000US29145,9152,9689,9657,9542,9904
"Nodaway County, MO",county,05000US29147,8871,8399,8835,8784,9103
"Oregon County, MO",county,05000US29149,8613,8111,7870,7619,8405
"Osage County, MO",county,05000US29151,9635,9348,9401,8405,8564
"Ozark County, MO",county,05000US29153,8233,8518,8512,9066,8051
"Pemiscot County, MO",county,05000US29155,9161,9737,9570,10101,9672
"Perry County, MO",county,05000US29157,9943,9408,10520,9918,10217
"Pettis County, MO",county,05000US29159,8123,8176,8781,8540,8949
"Phelps County, MO",county,05000US29161,9518,9687,9570,9266,9315
"Pike County, MO",county,05000US29163,9093,9557,9140,9989,9591
"Platte County, MO",county,05000US29165,10007,9740,10193,9979,9817
"Polk County, MO",county,05000US29167,8592,8983,8364,8671,8769
"Pulaski County, MO",county,05000US29169,9673,9913,9845,9251,9092
"Putnam County, MO",county,05000US29171,9959,11021,11432,10862,12133
"Ralls County, MO",county,05000US29173,9140,8066,8399,8679,7905
"Randolph County, MO",county,05000US29175,9528,10044,10186,9909,10020
"Ray County, MO",county,05000US29177,11405,11692,11178,10766,11160
"Reynolds County, MO",county,05000US29179,9536,9581,11096,9566,9983
"Ripley County, MO",county,05000US29181,10184,9848,11145,10493,10466
"St. Charles County, MO",county,05000US29183,10125,10158,10055,9871,10159
"St. Clair County, MO",county,05000US29185,9539,9410,10821,9889,10142
"Ste. Genevieve County, MO",county,05000US29186,11316,10996,10450,10415,11560
"St. Francois County, MO",county,05000US29187,10892,10924,11425,10704,10383
"St. Louis County, MO",county,05000US29189,9694,9727,9640,9459,9609
"Saline County, MO",county,05000US29195,8875,9374,9741,9409,8672
"Schuyler County, MO",county,05000US29197,9548,11055,11026,10229,10197
"Scotland County, MO",county,05000US29199,10830,10164,12527,11832,13549
"Scott County, MO",county,05000US29201,9276,9525,9362,9275,9323
"Shannon County, MO",county,05000US29203,8943,8279,9759,9532,8869
"Shelby County, MO",county,05000US29205,8165,8430,8760,8798,9211
"Stoddard County, MO",county,05000US29207,9599,9352,9516,9742,9349
"Stone County, MO",county,05000US29209,8395,8912,9368,9025,8584
"Sullivan County, MO",county,05000US29211,10003,10349,9524,10882,9230
"Taney County, MO",county,05000US29213,9337,9533,9926,9287,9032
"Texas County, MO",county,05000US29215,8206,8982,9135,8632,8002
"Vernon County, MO",county,05000US29217,8022,7575,7685,8161,8329
"Warren County, MO",county,05000US29219,9549,9573,9357,9088,9979
"Washington County, MO",county,05000US29221,12005,12063,12264,11275,11025
"Wayne County, MO",county,05000US29223,10103,9459,9289,9655,9400
"Webster County, MO",county,05000US29225,8425,9536,9267,9012,9211
"Worth County, MO",county,05000US29227,9204,10344,9523,8942,7870
"Wright County, MO",county,05000US29229,8710,9211,9260,9015,9237
"St. Louis city, MO",county,05000US29510,10227,10197,9967,9889,9977
"Beaverhead County, MT",county,05000US30001,7938,8128,7900,8559,8423
"Big Horn County, MT",county,05000US30003,10415,9375,10510,9792,9013
"Blaine County, MT",county,05000US30005,7250,8339,7324,7555,6881
"Broadwater County, MT",county,05000US30007,7467,7999,6209,7853,7193
"Carbon County, MT",county,05000US30009,8329,8198,7516,8102,7381
"Carter County, MT",county,05000US30011,7957,8072,5769,4672,5359
"Cascade County, MT",county,05000US30013,8435,8175,7880,7812,8097
"Chouteau County, MT",county,05000US30015,8499,7935,8065,8322,7053
"Custer County, MT",county,05000US30017,7357,7223,6739,6978,6972
"Daniels County, MT",county,05000US30019,7506,9032,8209,8238,8511
"Dawson County, MT",county,05000US30021,7387,7223,7384,6782,6155
"Deer Lodge County, MT",county,05000US30023,8359,9039,8347,8046,8464
"Fallon County, MT",county,05000US30025,7295,10171,7809,8028,8568
"Fergus County, MT",county,05000US30027,6631,7285,6911,7102,6989
"Flathead County, MT",county,05000US30029,7403,7659,7417,6963,7171
"Gallatin County, MT",county,05000US30031,7649,7534,7179,7133,7069
"Garfield County, MT",county,05000US30033,5305,6524,5593,5779,6057
"Glacier County, MT",county,05000US30035,9420,9491,9448,8466,8112
"Golden Valley County, MT",county,05000US30037,8246,10800,7014,6588,7381
"Granite County, MT",county,05000US30039,8070,7337,8326,7263,5747
"Hill County, MT",county,05000US30041,6529,6082,6972,6754,6678
"Jefferson County, MT",county,05000US30043,7138,7340,7238,7818,7100
"Judith Basin County, MT",county,05000US30045,7770,9900,8154,7302,6282
"Lake County, MT",county,05000US30047,7500,7450,7870,7905,7865
"Lewis and Clark County, MT",county,05000US30049,6989,6703,7279,7692,7344
"Liberty County, MT",county,05000US30051,9429,10386,7076,7433,8333
"Lincoln County, MT",county,05000US30053,6952,7004,7203,7074,7203
"McCone County, MT",county,05000US30055,6941,8486,5565,7117,8197
"Madison County, MT",county,05000US30057,8255,7439,7434,8236,7638
"Meagher County, MT",county,05000US30059,10409,10632,9831,10092,10502
"Mineral County, MT",county,05000US30061,7489,7112,7968,8008,7102
"Missoula County, MT",county,05000US30063,7209,6823,6973,7018,7167
"Musselshell County, MT",county,05000US30065,7981,7769,8325,8888,8365
"Park County, MT",county,05000US30067,7550,7670,7374,7680,7008
"Petroleum County, MT",county,05000US30069,3663,5503,4864,5619,11513
"Phillips County, MT",county,05000US30071,7343,7945,8042,7658,8002
"Pondera County, MT",county,05000US30073,8388,7397,8114,7808,9276
"Powder River County, MT",county,05000US30075,6254,6396,6097,5710,5018
"Powell County, MT",county,05000US30077,8069,8130,7681,7569,7472
"Prairie County, MT",county,05000US30079,6273,9416,8837,6558,6011
"Ravalli County, MT",county,05000US30081,7032,6710,6819,6922,6649
"Richland County, MT",county,05000US30083,7557,7711,6738,6770,6904
"Roosevelt County, MT",county,05000US30085,9028,6848,7885,8282,8505
"Rosebud County, MT",county,05000US30087,7952,8574,9047,8301,9035
"Sanders County, MT",county,05000US30089,6498,6902,6803,6833,7061
"Sheridan County, MT",county,05000US30091,7102,7121,7880,9037,7625
"Silver Bow County, MT",county,05000US30093,7364,7668,7980,7892,7888
"Stillwater County, MT",county,05000US30095,8874,8625,8302,7354,7370
"Sweet Grass County, MT",county,05000US30097,9316,6912,6782,8093,7828
"Teton County, MT",county,05000US30099,7503,7850,6819,7071,8605
"Toole County, MT",county,05000US30101,7807,9166,8287,7310,6836
"Treasure County, MT",county,05000US30103,6371,7616,6768,7721,7153
"Valley County, MT",county,05000US30105,7095,6846,6471,7617,7233
"Wheatland County, MT",county,05000US30107,6828,9690,8710,10018,7901
"Wibaux County, MT",county,05000US30109,6350,6162,5323,7004,8419
"Yellowstone County, MT",county,05000US30111,8217,7848,7809,7485,7644
"Adams County, NE",county,05000US31001,8929,9274,8204,8263,9241
"Antelope County, NE",county,05000US31003,10292,9676,10719,10703,10268
"Arthur County, NE",county,05000US31005,7000,6595,9215,10770,8971
"Banner County, NE",county,05000US31007,9709,8469,8447,7121,6096
"Blaine County, NE",county,05000US31009,9263,10339,7047,8107,7731
"Boone County, NE",county,05000US31011,7846,8675,8910,9016,8830
"Box Butte County, NE",county,05000US31013,9878,9239,9999,9271,9277
"Boyd County, NE",county,05000US31015,9368,9941,10153,9420,10253
"Brown County, NE",county,05000US31017,8540,9969,9754,8604,9444
"Buffalo County, NE",county,05000US31019,8127,8506,8335,8170,8546
"Burt County, NE",county,05000US31021,8412,9033,9324,8565,8631
"Butler County, NE",county,05000US31023,7633,7667,8010,8072,7502
"Cass County, NE",county,05000US31025,8464,9167,9187,8854,8614
"Cedar County, NE",county,05000US31027,8380,7982,8262,7684,7733
"Chase County, NE",county,05000US31029,9649,9607,8502,9071,10061
"Cherry County, NE",county,05000US31031,8722,9038,8671,9443,8200
"Cheyenne County, NE",county,05000US31033,9098,8033,8145,8694,8481
"Clay County, NE",county,05000US31035,8619,8269,7777,7734,8139
"Colfax County, NE",county,05000US31037,9378,10233,9639,9460,8864
"Cuming County, NE",county,05000US31039,8336,7715,7809,7896,8477
"Custer County, NE",county,05000US31041,10263,9794,9095,9045,9199
"Dakota County, NE",county,05000US31043,7969,7903,7868,8773,8081
"Dawes County, NE",county,05000US31045,5804,5717,6691,6480,6023
"Dawson County, NE",county,05000US31047,9222,9603,9497,9627,9692
"Deuel County, NE",county,05000US31049,7750,6092,6536,6909,8099
"Dixon County, NE",county,05000US31051,7759,8553,9737,8398,7804
"Dodge County, NE",county,05000US31053,8752,8857,8133,8289,8634
"Douglas County, NE",county,05000US31055,9012,9059,9016,8805,8751
"Dundy County, NE",county,05000US31057,9263,9714,9670,12136,10644
"Fillmore County, NE",county,05000US31059,9676,9498,8462,9626,9619
"Franklin County, NE",county,05000US31061,9128,8415,8548,9056,10449
"Frontier County, NE",county,05000US31063,7788,11089,11056,9160,9510
"Furnas County, NE",county,05000US31065,10058,10106,10623,11371,11752
"Gage County, NE",county,05000US31067,8389,8326,8797,9127,9398
"Garden County, NE",county,05000US31069,7801,8242,8561,9750,9746
"Garfield County, NE",county,05000US31071,10634,10499,10860,10688,9552
"Gosper County, NE",county,05000US31073,10115,8507,10689,7386,8246
"Grant County, NE",county,05000US31075,7461,7642,8654,8030,8784
"Greeley County, NE",county,05000US31077,9057,10146,9134,9959,9835
"Hall County, NE",county,05000US31079,9042,8414,8550,8480,8533
"Hamilton County, NE",county,05000US31081,8358,8288,7482,8434,7741
"Harlan County, NE",county,05000US31083,11337,12073,10206,10204,9997
"Hayes County, NE",county,05000US31085,6648,7356,8902,6709,9088
"Hitchcock County, NE",county,05000US31087,9051,10331,9778,10733,10014
"Holt County, NE",county,05000US31089,8694,9974,10863,10480,11439
"Hooker County, NE",county,05000US31091,8775,6791,8510,7089,6707
"Howard County, NE",county,05000US31093,9786,9959,10375,9703,9345
"Jefferson County, NE",county,05000US31095,6808,7382,7919,7392,8778
"Johnson County, NE",county,05000US31097,10114,10151,10912,10018,10506
"Kearney County, NE",county,05000US31099,7511,9140,9817,8328,9198
"Keith County, NE",county,05000US31101,8336,8193,8373,7910,7930
"Keya Paha County, NE",county,05000US31103,6572,7372,9601,9763,5704
"Kimball County, NE",county,05000US31105,9501,8058,8757,8720,9009
"Knox County, NE",county,05000US31107,8246,8853,8241,8641,7928
"Lancaster County, NE",county,05000US31109,8701,8756,8560,8564,8508
"Lincoln County, NE",county,05000US31111,9009,9336,8981,9331,10206
"Logan County, NE",county,05000US31113,6185,7843,7473,9005,10781
"Loup County, NE",county,05000US31115,8922,8331,10436,11741,12170
"McPherson County, NE",county,05000US31117,6415,8225,9356,12062,9625
"Madison County, NE",county,05000US31119,8060,8461,8450,8337,9199
"Merrick County, NE",county,05000US31121,8673,9794,8563,8530,8224
"Morrill County, NE",county,05000US31123,8033,7811,7180,8067,9261
"Nance County, NE",county,05000US31125,8765,9815,9918,9546,9352
"Nemaha County, NE",county,05000US31127,8709,10427,10513,10144,10289
"Nuckolls County, NE",county,05000US31129,9589,8613,9689,8849,9241
"Otoe County, NE",county,05000US31131,9508,9047,9163,9432,9722
"Pawnee County, NE",county,05000US31133,9722,8922,9944,9492,8709
"Perkins County, NE",county,05000US31135,8053,7889,7680,8500,8724
"Phelps County, NE",county,05000US31137,8857,10127,9915,9320,9955
"Pierce County, NE",county,05000US31139,8977,9563,9822,9138,9305
"Platte County, NE",county,05000US31141,7921,8012,7869,7705,8251
"Polk County, NE",county,05000US31143,8562,10487,8844,9182,8870
"Red Willow County, NE",county,05000US31145,8062,8657,8724,8893,9324
"Richardson County, NE",county,05000US31147,9882,11250,10605,9651,9838
"Rock County, NE",county,05000US31149,8246,9811,10583,9720,9222
"Saline County, NE",county,05000US31151,9753,9669,9617,8937,9347
"Sarpy County, NE",county,05000US31153,8481,9292,9202,8891,8822
"Saunders County, NE",county,05000US31155,9766,9896,9249,9504,9526
"Scotts Bluff County, NE",county,05000US31157,7903,7518,7775,7914,7873
"Seward County, NE",county,05000US31159,8602,8286,8827,8754,8476
"Sheridan County, NE",county,05000US31161,5799,6329,7051,7425,7067
"Sherman County, NE",county,05000US31163,8478,8586,8580,9400,9543
"Sioux County, NE",county,05000US31165,7290,7074,8003,6984,6871
"Stanton County, NE",county,05000US31167,8907,8645,9095,8707,8627
"Thayer County, NE",county,05000US31169,8141,7890,9285,9575,8585
"Thomas County, NE",county,05000US31171,6550,9886,9614,7934,6498
"Thurston County, NE",county,05000US31173,8837,10227,8994,9897,10632
"Valley County, NE",county,05000US31175,8723,10121,12281,10429,10730
"Washington County, NE",county,05000US31177,9173,9802,9359,9557,9398
"Wayne County, NE",county,05000US31179,7370,7728,8806,8471,8244
"Webster County, NE",county,05000US31181,9220,10046,8732,9657,10364
"Wheeler County, NE",county,05000US31183,7248,9714,11377,10341,6172
"York County, NE",county,05000US31185,9161,9090,9080,8795,9054
,,05000US31728,11663,,,,
,,05000US31745,8545,,,,
"Churchill County, NV",county,05000US32001,8783,8819,8817,8579,8034
"Clark County, NV",county,05000US32003,10931,11009,10900,10523,10597
"Douglas County, NV",county,05000US32005,7325,7487,7339,7328,7363
"Elko County, NV",county,05000US32007,8132,8296,7940,7496,8327
"Esmeralda County, NV",county,05000US32009,9415,7689,6021,6447,5436
"Eureka County, NV",county,05000US32011,8207,6144,7415,6105,5779
"Humboldt County, NV",county,05000US32013,6963,7889,7710,6829,7587
"Lander County, NV",county,05000US32015,8113,6905,6524,7578,7530
"Lincoln County, NV",county,05000US32017,7218,7935,8570,8552,8262
"Lyon County, NV",county,05000US32019,8003,8026,7504,8247,7726
"Mineral County, NV",county,05000US32021,7715,8259,9913,9782,7934
"Nye County, NV",county,05000US32023,9694,9963,10554,9200,9066
"Pershing County, NV",county,05000US32027,8285,7851,7804,8351,7146
"Storey County, NV",county,05000US32029,5612,7078,8501,5765,6288
"Washoe County, NV",county,05000US32031,8269,8197,7974,8301,7918
"White Pine County, NV",county,05000US32033,8963,8489,8098,8720,8692
"Carson City County, NV",county,05000US32510,8233,7995,8022,8224,8448
"Belknap County, NH",county,05000US33001,7492,7785,8150,8140,8298
"Carroll County, NH",county,05000US33003,7829,8132,7816,7958,7908
"Cheshire County, NH",county,05000US33005,7728,7620,7489,7603,7418
"Coos County, NH",county,05000US33007,8276,8166,7897,8431,8309
"Grafton County, NH",county,05000US33009,7195,7596,7389,7553,7695
"Hillsborough County, NH",county,05000US33011,8445,8716,8589,8545,8663
"Merrimack County, NH",county,05000US33013,8178,8508,8249,8141,8469
"Rockingham County, NH",county,05000US33015,8857,9413,8927,8805,8757
"Strafford County, NH",county,05000US33017,8539,8674,8517,8060,8206
"Sullivan County, NH",county,05000US33019,7603,7532,7598,7553,7803
,,05000US33929,8990,,,,
"Atlantic County, NJ",county,05000US34001,10478,10474,10592,10522,10691
"Bergen County, NJ",county,05000US34003,9833,10093,10048,10053,10636
"Burlington County, NJ",county,05000US34005,9269,9444,9469,9775,9798
"Camden County, NJ",county,05000US34007,10041,10196,10179,10330,10433
"Cape May County, NJ",county,05000US34009,10271,10580,10434,10177,10235
"Cumberland County, NJ",county,05000US34011,10072,10336,10392,10320,10379
"Essex County, NJ",county,05000US34013,9860,10654,10376,10133,10150
"Gloucester County, NJ",county,05000US34015,10032,9998,10138,10403,10284
"Hudson County, NJ",county,05000US34017,10352,10671,10590,10510,10894
"Hunterdon County, NJ",county,05000US34019,9267,9027,8808,8799,8753
"Mercer County, NJ",county,05000US34021,10223,10335,10020,10218,10366
"Middlesex County, NJ",county,05000US34023,9593,10135,9882,10050,10126
"Monmouth County, NJ",county,05000US34025,10386,10432,10295,10214,10264
"Morris County, NJ",county,05000US34027,8973,9432,9591,9438,9585
"Ocean County, NJ",county,05000US34029,10501,10809,10587,10403,10593
"Passaic County, NJ",county,05000US34031,9782,10250,10324,10299,10822
"Salem County, NJ",county,05000US34033,10305,10371,9857,9967,9766
"Somerset County, NJ",county,05000US34035,9306,9759,9519,9308,9331
"Sussex County, NJ",county,05000US34037,9347,9439,9274,9468,9600
"Union County, NJ",county,05000US34039,8948,9542,9232,9162,9267
"Warren County, NJ",county,05000US34041,9818,10471,10644,10134,10137
"Bernalillo County, NM",county,05000US35001,7207,7285,7424,7369,7450
"Catron County, NM",county,05000US35003,6033,6296,5373,5947,5684
"Chaves County, NM",county,05000US35005,8641,8674,8547,8715,9184
"Cibola County, NM",county,05000US35006,7200,7651,7739,6855,7780
"Colfax County, NM",county,05000US35007,6257,6095,6579,6442,6245
"Curry County, NM",county,05000US35009,8538,9352,9358,9079,9548
"De Baca County, NM",county,05000US35011,7708,7919,7710,9203,9301
"Doña Ana County, NM",county,05000US35013,8622,8706,8625,8320,8685
"Eddy County, NM",county,05000US35015,9368,8861,8751,9232,8507
"Grant County, NM",county,05000US35017,6662,6896,6820,6869,6806
"Guadalupe County, NM",county,05000US35019,6688,6152,5949,6691,6187
"Harding County, NM",county,05000US35021,5542,8129,7105,7308,9216
"Hidalgo County, NM",county,05000US35023,6795,8354,6622,5584,6727
"Lea County, NM",county,05000US35025,9878,9987,10557,9999,9945
"Lincoln County, NM",county,05000US35027,6928,6513,6799,6553,7303
"Los Alamos County, NM",county,05000US35028,5828,6454,6653,6602,6596
"Luna County, NM",county,05000US35029,7644,8065,7614,9101,8949
"McKinley County, NM",county,05000US35031,6886,7820,7511,7856,7706
"Mora County, NM",county,05000US35033,6261,5802,6242,5953,6158
"Otero County, NM",county,05000US35035,8612,8159,8467,8079,8592
"Quay County, NM",county,05000US35037,8533,7824,8860,8384,9653
"Rio Arriba County, NM",county,05000US35039,6335,6353,6577,6375,6451
"Roosevelt County, NM",county,05000US35041,9136,8497,9565,9685,9455
"Sandoval County, NM",county,05000US35043,7495,7654,7572,7639,7387
"San Juan County, NM",county,05000US35045,7872,8194,8018,8012,8057
"San Miguel County, NM",county,05000US35047,6632,6677,7309,7009,7031
"Santa Fe County, NM",county,05000US35049,6566,6544,6406,6484,6553
"Sierra County, NM",county,05000US35051,7364,7466,8013,7243,8027
"Socorro County, NM",county,05000US35053,7180,6840,6830,6702,6920
"Taos County, NM",county,05000US35055,6313,5996,6371,5770,6067
"Torrance County, NM",county,05000US35057,6964,7423,6834,6754,7564
"Union County, NM",county,05000US35059,7927,9523,10037,8278,9775
"Valencia County, NM",county,05000US35061,7346,7248,7034,7776,6929
"Albany County, NY",county,05000US36001,8179,8198,8285,8544,8271
"Allegany County, NY",county,05000US36003,8167,7923,7934,7848,8177
"Bronx County, NY",county,05000US36005,9952,10192,9977,9857,10984
"Broome County, NY",county,05000US36007,7988,8112,8224,8284,8442
"Cattaraugus County, NY",county,05000US36009,8857,8642,8925,8396,8715
"Cayuga County, NY",county,05000US36011,7972,7921,8238,8068,8096
"Chautauqua County, NY",county,05000US36013,8053,8467,8130,8541,8408
"Chemung County, NY",county,05000US36015,8819,8846,8767,9706,9377
"Chenango County, NY",county,05000US36017,7166,7273,7727,7817,7674
"Clinton County, NY",county,05000US36019,8668,8773,8711,8857,9127
"Columbia County, NY",county,05000US36021,8556,8894,8791,8782,8921
"Cortland County, NY",county,05000US36023,8773,8957,8578,8850,8708
"Delaware County, NY",county,05000US36025,8305,8431,8772,9017,9376
"Dutchess County, NY",county,05000US36027,8816,9074,8832,8852,9763
"Erie County, NY",county,05000US36029,7992,8210,7988,7992,7920
"Essex County, NY",county,05000US36031,8354,8074,8834,8455,8423
"Franklin County, NY",county,05000US36033,7841,8393,8043,8170,8587
"Fulton County, NY",county,05000US36035,8004,8254,9068,8564,8274
"Genesee County, NY",county,05000US36037,8481,8974,8168,7973,8548
"Greene County, NY",county,05000US36039,8458,8553,8802,8509,9395
"Hamilton County, NY",county,05000US36041,6733,7415,8170,7789,7088
"Herkimer County, NY",county,05000US36043,8998,8506,8721,8855,8905
"Jefferson County, NY",county,05000US36045,7983,8303,7922,8389,8278
"Kings County, NY",county,05000US36047,11317,11546,11339,10960,11979
"Lewis County, NY",county,05000US36049,6738,6721,6795,7258,7839
"Livingston County, NY",county,05000US36051,7791,7659,7668,7369,7154
"Madison County, NY",county,05000US36053,8028,7678,7933,7585,7376
"Monroe County, NY",county,05000US36055,8249,8200,8181,8052,8289
"Montgomery County, NY",county,05000US36057,8463,8056,8285,8164,8584
"Nassau County, NY",county,05000US36059,10129,10413,10143,10099,10155
"New York County, NY",county,05000US36061,9159,9323,9037,9152,9928
"Niagara County, NY",county,05000US36063,8812,8773,8611,8710,8473
"Oneida County, NY",county,05000US36065,8905,8903,8747,8528,8640
"Onondaga County, NY",county,05000US36067,8013,8235,8182,8069,8233
"Ontario County, NY",county,05000US36069,7625,7180,7273,7545,7262
"Orange County, NY",county,05000US36071,9633,9708,9654,9703,10836
"Orleans County, NY",county,05000US36073,8045,7893,7691,8386,9836
"Oswego County, NY",county,05000US36075,8915,9037,9342,9422,9601
"Otsego County, NY",county,05000US36077,7719,7342,7804,7843,8088
"Putnam County, NY",county,05000US36079,9782,10130,9913,9500,10680
"Queens County, NY",county,05000US36081,9944,10343,10156,9939,10660
"Rensselaer County, NY",county,05000US36083,8509,8569,8841,8717,8687
"Richmond County, NY",county,05000US36085,10536,10738,10949,10707,11612
"Rockland County, NY",county,05000US36087,9731,10273,10349,10216,11149
"St. Lawrence County, NY",county,05000US36089,8180,8123,8116,8227,8439
"Saratoga County, NY",county,05000US36091,8154,8329,8390,8207,7966
"Schenectady County, NY",county,05000US36093,7409,7492,7593,7393,7739
"Schoharie County, NY",county,05000US36095,7532,6715,7825,7911,8008
"Schuyler County, NY",county,05000US36097,8345,8548,8553,8603,9228
"Seneca County, NY",county,05000US36099,7585,7591,8344,7529,8532
"Steuben County, NY",county,05000US36101,7908,7879,7799,8148,7872
"Suffolk County, NY",county,05000US36103,10143,10367,10389,10354,10443
"Sullivan County, NY",county,05000US36105,9168,9418,9696,9167,9291
"Tioga County, NY",county,05000US36107,8018,8135,7982,7608,8405
"Tompkins County, NY",county,05000US36109,6336,6592,6553,6944,6795
"Ulster County, NY",county,05000US36111,8564,8629,8758,8825,9066
"Warren County, NY",county,05000US36113,8590,8482,8277,7992,8402
"Washington County, NY",county,05000US36115,8748,9023,8351,8457,8283
"Wayne County, NY",county,05000US36117,8379,9006,9219,9145,9618
"Westchester County, NY",county,05000US36119,9266,9562,9567,9497,10315
"Wyoming County, NY",county,05000US36121,7964,8276,7892,7970,8203
"Yates County, NY",county,05000US36123,6945,6656,6918,7090,6910
"Alamance County, NC",county,05000US37001,8465,8627,9049,8640,8892
"Alexander County, NC",county,05000US37003,8664,9446,9241,9061,9354
"Alleghany County, NC",county,05000US37005,9360,9616,9423,8428,9962
"Anson County, NC",county,05000US37007,9800,9171,8855,8714,9069
"Ashe County, NC",county,05000US37009,8253,8952,8717,8407,9551
"Avery County, NC",county,05000US37011,9416,9792,9772,9453,9782
"Beaufort County, NC",county,05000US37013,8040,8133,7983,8468,8049
"Bertie County, NC",county,05000US37015,8445,8361,8912,8819,9526
"Bladen County, NC",county,05000US37017,10464,10647,10618,10221,10701
"Brunswick County, NC",county,05000US37019,8769,9231,9094,9076,9032
"Buncombe County, NC",county,05000US37021,7935,8329,8057,8017,8254
"Burke County, NC",county,05000US37023,8975,8686,8930,8736,8617
"Cabarrus County, NC",county,05000US37025,9713,9802,9667,9269,9665
"Caldwell County, NC",county,05000US37027,9598,9033,9043,9086,8962
"Camden County, NC",county,05000US37029,8399,8873,9044,8366,9088
"Carteret County, NC",county,05000US37031,9404,8913,9161,8894,9041
"Caswell County, NC",county,05000US37033,8552,9014,9068,9476,9111
"Catawba County, NC",county,05000US37035,8523,8467,8691,8345,8537
"Chatham County, NC",county,05000US37037,8066,8056,8133,8296,7874
"Cherokee County, NC",county,05000US37039,8637,8560,8026,8466,8681
"Chowan County, NC",county,05000US37041,8341,8315,7628,8467,8544
"Clay County, NC",county,05000US37043,8602,8144,7521,8284,7984
"Cleveland County, NC",county,05000US37045,9131,8853,9084,8892,9303
"Columbus County, NC",county,05000US37047,11156,10671,10605,10460,10830
"Craven County, NC",county,05000US37049,8763,8845,9180,9109,8933
"Cumberland County, NC",county,05000US37051,8698,9146,9007,8867,9345
"Currituck County, NC",county,05000US37053,8950,9424,8799,8924,9132
"Dare County, NC",county,05000US37055,7856,7431,7531,7707,7220
"Davidson County, NC",county,05000US37057,9375,9592,9506,9079,9646
"Davie County, NC",county,05000US37059,9502,10106,9954,9533,9237
