geo_name,geo_sumlevel,geo_id,total_reimbursements_b_2010,total_reimbursements_b_2011,total_reimbursements_b_2012,total_reimbursements_b_2013,total_reimbursements_b_2014
"Carroll County, AR",county,05000US05015,8218,7902,8749,8617,8494
"Chicot County, AR",county,05000US05017,9526,9575,9409,10496,10580
"Clark County, AR",county,05000US05019,8269,8644,8431,8951,8243
"Clay County, AR",county,05000US05021,9693,10576,10957,10353,11266
"Cleburne County, AR",county,05000US05023,8456,8372,8148,7839,8277
"Cleveland County, AR",county,05000US05025,9963,9353,10553,10295,9536
"Columbia County, AR",county,05000US05027,9805,10136,9604,9518,9287
"Conway County, AR",county,05000US05029,8658,8990,8667,8825,8981
"Craighead County, AR",county,05000US05031,8988,9279,9350,9616,9850
"Crawford County, AR",county,05000US05033,9800,9891,9884,10673,10155
"Crittenden County, AR",county,05000US05035,9803,9823,9793,9691,8734
"Cross County, AR",county,05000US05037,9350,9882,9912,9659,10348
"Dallas County, AR",county,05000US05039,10002,9984,9255,9718,10590
"Desha County, AR",county,05000US05041,11008,10111,10304,10645,11332
"Drew County, AR",county,05000US05043,10421,10938,11110,10884,10807
"Faulkner County, AR",county,05000US05045,8898,8850,9098,9322,9501
"Franklin County, AR",county,05000US05047,8772,8462,9153,9805,10169
"Fulton County, AR",county,05000US05049,9075,9851,9724,10170,10144
"Garland County, AR",county,05000US05051,9390,9335,9584,9572,9794
"Grant County, AR",county,05000US05053,10141,10612,10257,9238,10413
"Greene County, AR",county,05000US05055,9780,10379,10077,9816,10070
"Hempstead County, AR",county,05000US05057,10567,10319,10429,9624,9977
"Hot Spring County, AR",county,05000US05059,10211,9702,10132,10087,10110
"Howard County, AR",county,05000US05061,9633,10148,9776,9945,10754
"Independence County, AR",county,05000US05063,10740,11416,11190,11028,10800
"Izard County, AR",county,05000US05065,9636,9613,10609,9642,9611
"Jackson County, AR",county,05000US05067,11298,11410,11390,10043,11155
"Jefferson County, AR",county,05000US05069,8079,8688,8693,8374,8616
"Johnson County, AR",county,05000US05071,8031,8309,8350,7946,8710
"Lafayette County, AR",county,05000US05073,10715,10739,9867,10113,9698
"Lawrence County, AR",county,05000US05075,10181,10566,11109,10922,11123
"Lee County, AR",county,05000US05077,8961,8325,9391,8740,8204
"Lincoln County, AR",county,05000US05079,9425,9113,10604,9723,9572
"Little River County, AR",county,05000US05081,13054,10903,10904,11587,12300
"Logan County, AR",county,05000US05083,9333,9161,9331,8982,9764
"Lonoke County, AR",county,05000US05085,10246,10186,10703,9938,10183
"Madison County, AR",county,05000US05087,7806,7948,7763,8270,8037
"Marion County, AR",county,05000US05089,8177,8515,8751,9251,8937
"Miller County, AR",county,05000US05091,10657,10580,10511,10049,10690
"Mississippi County, AR",county,05000US05093,9905,10398,10060,9784,10261
"Monroe County, AR",county,05000US05095,9257,9497,9348,8180,9723
"Montgomery County, AR",county,05000US05097,8041,8753,8078,7765,8512
"Nevada County, AR",county,05000US05099,9502,9692,8950,9210,9235
"Newton County, AR",county,05000US05101,7010,7367,7475,6778,7490
"Ouachita County, AR",county,05000US05103,9209,8977,9469,9112,9362
